student number: 1,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Dot Pos(1:T 2:B),
1,Practice,informal,matchbook,1,369,2
2,Practice,marksman,ten,1,323,2
3,Practice,multitude,infuser,1,240,2
4,Practice,linear,flatten,1,233,2
5,Practice,rectangular,subsequent,1,306,1
6,Practice,keyboard,checkers,1,296,1
7,Practice,adobe,midst,1,358,1
8,Practice,geometric,indicate,1,346,1
9,Practice,localized,input,1,391,1
10,Practice,infuser,multitude,1,386,1
11,Practice,numerical,limestone,1,348,2
12,Practice,scoop,seat,1,312,2
13,Practice,input,localized,1,286,1
14,Practice,indicate,geometric,1,261,1
15,Practice,collar,washer,1,349,1
16,Practice,logistics,diagonal,1,393,1
17,Practice,subsequent,rectangular,1,315,2
18,Practice,aluminium,banner,1,289,2
19,Practice,ten,marksman,1,240,1
20,Practice,edition,contrast,1,296,1
21,Practice,midst,adobe,1,239,2
22,Practice,banner,aluminium,1,319,2
23,Practice,washer,collar,1,301,1
24,Practice,matchbook,informal,1,259,1
25,Practice,flatten,linear,1,187,2
26,Practice,checkers,keyboard,1,62,2
27,Practice,seat,scoop,1,494,2
28,Practice,limestone,numerical,1,196,2
29,Practice,contrast,edition,1,367,1
30,Practice,diagonal,logistics,1,298,2
1,Main,corpse,branch,1,435,1
2,Main,dishonesty,deductions,1,332,2
3,Main,skull,broad,1,313,1
4,Main,cramp,paged,1,215,2
5,Main,success,section,1,297,2
6,Main,repulsive,reviewing,1,224,1
7,Main,killed,having,1,305,2
8,Main,setting,victory,1,543,1
9,Main,branch,corpse,1,1052,1
10,Main,paged,cramp,1,276,2
11,Main,dishonesty,deductions,1,267,2
12,Main,murder,except,1,274,1
